Date : 2023-05-08 17:40:55
Directory : d:\Development\Collaborative_development\ticketeer\lib
Total : 159 files,  9324 codes, 810 comments, 1187 blanks, all 11321 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| features\full_movie\domain\entities                                                                                                                    |          2 |         24 |          3 |          4 |         31 |
| features\full_movie\domain\repositories                                                                                                                |          1 |          8 |          5 |          4 |         17 |
| features\full_movie\presentation                                                                                                                       |         10 |        970 |         38 |         72 |      1,080 |
| features\full_movie\presentation\cubits                                                                                                                |          4 |        154 |         17 |         28 |        199 |
| features\full_movie\presentation\cubits\comment_write_cubit                                                                                            |          2 |         80 |          9 |         14 |        103 |
| features\full_movie\presentation\cubits\comments_cubit                                                                                                 |          2 |         74 |          8 |         14 |         96 |
| features\full_movie\presentation\views                                                                                                                 |          6 |        816 |         21 |         44 |        881 |
| features\full_movie\presentation\views\comments_screen                                                                                                 |          4 |        503 |         12 |         28 |        543 |
| features\full_movie\presentation\views\comments_screen (Files)                                                                                         |          1 |        131 |          4 |          6 |        141 |
| features\full_movie\presentation\views\comments_screen\components                                                                                      |          3 |        372 |          8 |         22 |        402 |
| features\full_movie\presentation\views\full_movie_screen                                                                                               |          2 |        313 |          9 |         16 |        338 |
| features\full_movie\presentation\views\full_movie_screen (Files)                                                                                       |          1 |        281 |          6 |         11 |        298 |
| features\full_movie\presentation\views\full_movie_screen\components                                                                                    |          1 |         32 |          3 |          5 |         40 |
| features\home_movies                                                                                                                                   |         19 |      1,388 |         76 |        149 |      1,613 |
| features\home_movies (Files)                                                                                                                           |          1 |         23 |          1 |          4 |         28 |
| features\home_movies\data                                                                                                                              |          4 |        248 |         22 |         34 |        304 |
| features\home_movies\data (Files)                                                                                                                      |          2 |         85 |         13 |         20 |        118 |
| features\home_movies\data\models                                                                                                                       |          2 |        163 |          9 |         14 |        186 |
| features\home_movies\domain                                                                                                                            |          3 |         80 |         10 |         16 |        106 |
| features\home_movies\domain\entities                                                                                                                   |          2 |         72 |          6 |         12 |         90 |
| features\home_movies\domain\repositories                                                                                                               |          1 |          8 |          4 |          4 |         16 |
| features\home_movies\presentation                                                                                                                      |         11 |      1,037 |         43 |         95 |      1,175 |
| features\home_movies\presentation\cubits                                                                                                               |          2 |        188 |         19 |         24 |        231 |
| features\home_movies\presentation\cubits\home_movies_cubit                                                                                             |          2 |        188 |         19 |         24 |        231 |
| features\home_movies\presentation\views                                                                                                                |          9 |        849 |         24 |         71 |        944 |
| features\home_movies\presentation\views\movies_filters_screen                                                                                          |          3 |        335 |          9 |         33 |        377 |
| features\home_movies\presentation\views\movies_filters_screen (Files)                                                                                  |          1 |        203 |          4 |         22 |        229 |
| features\home_movies\presentation\views\movies_filters_screen\components                                                                               |          2 |        132 |          5 |         11 |        148 |
| features\home_movies\presentation\views\movies_screen                                                                                                  |          6 |        514 |         15 |         38 |        567 |
| features\home_movies\presentation\views\movies_screen (Files)                                                                                          |          1 |         55 |          3 |          5 |         63 |
| features\home_movies\presentation\views\movies_screen\components                                                                                       |          5 |        459 |         12 |         33 |        504 |
| features\localization                                                                                                                                  |          3 |         58 |         19 |         15 |         92 |
| features\localization\data                                                                                                                             |          2 |         52 |          7 |         12 |         71 |
| features\localization\domain                                                                                                                           |          1 |          6 |         12 |          3 |         21 |
| features\main_bottom_bar                                                                                                                               |          1 |         70 |          5 |          7 |         82 |
| features\main_bottom_bar\presentation                                                                                                                  |          1 |         70 |          5 |          7 |         82 |
| features\profile                                                                                                                                       |         15 |        837 |         78 |         94 |      1,009 |
| features\profile (Files)                                                                                                                               |          1 |         22 |          1 |          4 |         27 |
| features\profile\data                                                                                                                                  |          3 |         83 |         15 |         17 |        115 |
| features\profile\data (Files)                                                                                                                          |          2 |         43 |         10 |         11 |         64 |
| features\profile\data\models                                                                                                                           |          1 |         40 |          5 |          6 |         51 |
| features\profile\domain                                                                                                                                |          2 |         18 |         10 |          9 |         37 |
| features\profile\domain\entities                                                                                                                       |          1 |         12 |          7 |          6 |         25 |
| features\profile\domain\repositories                                                                                                                   |          1 |          6 |          3 |          3 |         12 |
| features\profile\presentation                                                                                                                          |          9 |        714 |         52 |         64 |        830 |
| features\profile\presentation\cubits                                                                                                                   |          2 |         94 |         25 |         22 |        141 |
| features\profile\presentation\cubits\profile_cubit                                                                                                     |          2 |         94 |         25 |         22 |        141 |
| features\profile\presentation\views                                                                                                                    |          7 |        620 |         27 |         42 |        689 |
| features\profile\presentation\views (Files)                                                                                                            |          1 |        224 |          7 |         11 |        242 |
| features\profile\presentation\views\components                                                                                                         |          6 |        396 |         20 |         31 |        447 |
| features\session                                                                                                                                       |         33 |      2,320 |        169 |        267 |      2,756 |
| features\session (Files)                                                                                                                               |          1 |         30 |          1 |          6 |         37 |
| features\session\data                                                                                                                                  |          7 |        422 |         21 |         86 |        529 |
| features\session\data (Files)                                                                                                                          |          2 |        105 |         13 |         20 |        138 |
| features\session\data\models                                                                                                                           |          5 |        317 |          8 |         66 |        391 |
| features\session\domain                                                                                                                                |          6 |         77 |         12 |         18 |        107 |
| features\session\domain\entities                                                                                                                       |          5 |         64 |          6 |         13 |         83 |
| features\session\domain\repositories                                                                                                                   |          1 |         13 |          6 |          5 |         24 |
| features\session\presentation                                                                                                                          |         19 |      1,791 |        135 |        157 |      2,083 |
| features\session\presentation\cubits                                                                                                                   |          6 |        377 |         60 |         51 |        488 |
| features\session\presentation\cubits\all_sessions_cubit                                                                                                |          2 |         83 |          9 |         12 |        104 |
| features\session\presentation\cubits\payment_cubit                                                                                                     |          2 |        186 |         14 |         17 |        217 |
| features\session\presentation\cubits\room_cubit                                                                                                        |          2 |        108 |         37 |         22 |        167 |
| features\session\presentation\views                                                                                                                    |         13 |      1,414 |         75 |        106 |      1,595 |
| features\session\presentation\views\all_sessions_screen                                                                                                |          3 |        446 |         12 |         31 |        489 |
| features\session\presentation\views\all_sessions_screen (Files)                                                                                        |          1 |        200 |          5 |         10 |        215 |
| features\session\presentation\views\all_sessions_screen\components                                                                                     |          2 |        246 |          7 |         21 |        274 |
| features\session\presentation\views\payment_screen                                                                                                     |          4 |        343 |         10 |         26 |        379 |
| features\session\presentation\views\payment_screen (Files)                                                                                             |          1 |        180 |          4 |         10 |        194 |
| features\session\presentation\views\payment_screen\components                                                                                          |          3 |        163 |          6 |         16 |        185 |
| features\session\presentation\views\room_screen                                                                                                        |          6 |        625 |         53 |         49 |        727 |
| features\session\presentation\views\room_screen (Files)                                                                                                |          1 |        203 |          4 |         11 |        218 |
| features\session\presentation\views\room_screen\components                                                                                             |          5 |        422 |         49 |         38 |        509 |
| features\theme                                                                                                                                         |          6 |        110 |         39 |         33 |        182 |
| features\theme (Files)                                                                                                                                 |          1 |         22 |          1 |          4 |         27 |
| features\theme\data                                                                                                                                    |          2 |         39 |         16 |         12 |         67 |
| features\theme\domain                                                                                                                                  |          1 |          5 |          3 |          4 |         12 |
| features\theme\theme_cubit                                                                                                                             |          2 |         44 |         19 |         13 |         76 |
| features\user_tickets                                                                                                                                  |         11 |        653 |         42 |         59 |        754 |
| features\user_tickets (Files)                                                                                                                          |          1 |         22 |          1 |          4 |         27 |
| features\user_tickets\data                                                                                                                             |          3 |         94 |         15 |         15 |        124 |
| features\user_tickets\data (Files)                                                                                                                     |          2 |         37 |         10 |         10 |         57 |
| features\user_tickets\data\models                                                                                                                      |          1 |         57 |          5 |          5 |         67 |
| features\user_tickets\domain                                                                                                                           |          2 |         25 |          4 |          4 |         33 |
| features\user_tickets\domain\entities                                                                                                                  |          1 |         20 |          1 |          2 |         23 |
| features\user_tickets\domain\repositories                                                                                                              |          1 |          5 |          3 |          2 |         10 |
| features\user_tickets\presentation                                                                                                                     |          5 |        512 |         22 |         36 |        570 |
| features\user_tickets\presentation\cubits                                                                                                              |          2 |         32 |         12 |         11 |         55 |
| features\user_tickets\presentation\cubits\user_tickets_cubit                                                                                           |          2 |         32 |         12 |         11 |         55 |
| features\user_tickets\presentation\views                                                                                                               |          3 |        480 |         10 |         25 |        515 |
| features\user_tickets\presentation\views\full_ticket_screen                                                                                            |          1 |        234 |          4 |          9 |        247 |
| features\user_tickets\presentation\views\user_tickets_screen                                                                                           |          2 |        246 |          6 |         16 |        268 |
| features\user_tickets\presentation\views\user_tickets_screen (Files)                                                                                   |          1 |        124 |          2 |          7 |        133 |
| features\user_tickets\presentation\views\user_tickets_screen\components                                                                                |          1 |        122 |          4 |          9 |        135 |
| features\welcome                                                                                                                                       |          2 |        171 |          5 |          8 |        184 |
| features\welcome (Files)                                                                                                                               |          1 |        108 |          3 |          5 |        116 |
| features\welcome\components                                                                                                                            |          1 |         63 |          2 |          3 |         68 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                               | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Development\Collaborative_development\ticketeer\lib\app.dart                                                                                        | Dart     |         61 |          4 |          4 |         69 |
| d:\Development\Collaborative_development\ticketeer\lib\core\components\buttons\custom_default_button.dart                                              | Dart     |         50 |         13 |          9 |         72 |
| d:\Development\Collaborative_development\ticketeer\lib\core\components\buttons\custom_highlighted_button.dart                                          | Dart     |         50 |         11 |          9 |         70 |
| d:\Development\Collaborative_development\ticketeer\lib\core\components\custom_button.dart                                                              | Dart     |         58 |         14 |         13 |         85 |
| d:\Development\Collaborative_development\ticketeer\lib\core\components\custom_text_field.dart                                                          | Dart     |         77 |          3 |         18 |         98 |
| d:\Development\Collaborative_development\ticketeer\lib\core\components\custom_toasts.dart                                                              | Dart     |         38 |          2 |          3 |         43 |
| d:\Development\Collaborative_development\ticketeer\lib\core\components\static_elements\custom_chip.dart                                                | Dart     |         48 |          9 |          8 |         65 |
| d:\Development\Collaborative_development\ticketeer\lib\core\components\static_elements\custom_container.dart                                           | Dart     |         32 |          3 |          9 |         44 |
| d:\Development\Collaborative_development\ticketeer\lib\core\components\static_elements\feature_badge.dart                                              | Dart     |         38 |          5 |          6 |         49 |
| d:\Development\Collaborative_development\ticketeer\lib\core\components\static_elements\stacked_gradient.dart                                           | Dart     |         32 |          3 |          4 |         39 |
| d:\Development\Collaborative_development\ticketeer\lib\core\components\static_elements\validation_error_box.dart                                       | Dart     |         50 |          5 |          6 |         61 |
| d:\Development\Collaborative_development\ticketeer\lib\core\constants\image_names.dart                                                                 | Dart     |         16 |          9 |         15 |         40 |
| d:\Development\Collaborative_development\ticketeer\lib\core\constants\object_constants.dart                                                            | Dart     |          4 |          3 |          4 |         11 |
| d:\Development\Collaborative_development\ticketeer\lib\core\constants\reg_exps.dart                                                                    | Dart     |          3 |          1 |          1 |          5 |
| d:\Development\Collaborative_development\ticketeer\lib\core\constants\string_constants.dart                                                            | Dart     |          5 |          5 |          5 |         15 |
| d:\Development\Collaborative_development\ticketeer\lib\core\dio_interseptors\api_interceptor.dart                                                      | Dart     |         40 |          6 |          7 |         53 |
| d:\Development\Collaborative_development\ticketeer\lib\core\error\error_model.dart                                                                     | Dart     |         42 |          8 |         14 |         64 |
| d:\Development\Collaborative_development\ticketeer\lib\core\error\exceptions.dart                                                                      | Dart     |         37 |         13 |          7 |         57 |
| d:\Development\Collaborative_development\ticketeer\lib\core\error\failure.dart                                                                         | Dart     |         15 |          6 |          7 |         28 |
| d:\Development\Collaborative_development\ticketeer\lib\core\error\request_handler.dart                                                                 | Dart     |         20 |         14 |          3 |         37 |
| d:\Development\Collaborative_development\ticketeer\lib\core\routing\app_router.dart                                                                    | Dart     |         70 |          3 |          5 |         78 |
| d:\Development\Collaborative_development\ticketeer\lib\core\routing\app_router.gr.dart                                                                 | Dart     |        469 |         37 |         85 |        591 |
| d:\Development\Collaborative_development\ticketeer\lib\core\styles\app_color_scheme\accents.dart                                                       | Dart     |         24 |          1 |          4 |         29 |
| d:\Development\Collaborative_development\ticketeer\lib\core\styles\app_color_scheme\app_color_scheme.dart                                              | Dart     |         43 |          3 |          6 |         52 |
| d:\Development\Collaborative_development\ticketeer\lib\core\styles\app_color_scheme\backgrounds.dart                                                   | Dart     |         15 |          1 |          5 |         21 |
| d:\Development\Collaborative_development\ticketeer\lib\core\styles\app_color_scheme\components.dart                                                    | Dart     |         22 |          1 |          8 |         31 |
| d:\Development\Collaborative_development\ticketeer\lib\core\styles\app_color_scheme\fonts.dart                                                         | Dart     |         18 |          1 |          4 |         23 |
| d:\Development\Collaborative_development\ticketeer\lib\core\styles\app_theme.dart                                                                      | Dart     |         80 |         10 |          3 |         93 |
| d:\Development\Collaborative_development\ticketeer\lib\core\styles\custom_text_style.dart                                                              | Dart     |        153 |         12 |         39 |        204 |
| d:\Development\Collaborative_development\ticketeer\lib\core\util\custom_formatters.dart                                                                | Dart     |         27 |          1 |          3 |         31 |
| d:\Development\Collaborative_development\ticketeer\lib\core\util\date_time_helper.dart                                                                 | Dart     |         42 |          6 |          6 |         54 |
| d:\Development\Collaborative_development\ticketeer\lib\core\util\debounce.dart                                                                         | Dart     |         14 |          5 |          5 |         24 |
| d:\Development\Collaborative_development\ticketeer\lib\core\util\inversions\custom_system_theme.dart                                                   | Dart     |          4 |          2 |          2 |          8 |
| d:\Development\Collaborative_development\ticketeer\lib\core\util\validators.dart                                                                       | Dart     |         60 |         20 |         18 |         98 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\data\auth_datasource.dart                                                         | Dart     |         43 |          8 |          9 |         60 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\data\auth_repository_impl.dart                                                    | Dart     |         28 |          1 |          3 |         32 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\data\token_datasource.dart                                                        | Dart     |         19 |          4 |          6 |         29 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\data\token_repository_impl.dart                                                   | Dart     |         24 |          1 |          3 |         28 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\domain\repositories\auth_repository.dart                                          | Dart     |          5 |          3 |          3 |         11 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\domain\repositories\token_repository.dart                                         | Dart     |          5 |          4 |          3 |         12 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\injection.dart                                                                    | Dart     |         29 |          1 |          5 |         35 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\presentation\cubits\otp_cubit\otp_cubit.dart                                      | Dart     |         50 |          6 |          6 |         62 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\presentation\cubits\otp_cubit\otp_cubit_state.dart                                | Dart     |         31 |          1 |          5 |         37 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\presentation\cubits\phone_cubit\phone_cubit.dart                                  | Dart     |         62 |          9 |          7 |         78 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\presentation\cubits\phone_cubit\phone_state.dart                                  | Dart     |         31 |          4 |          6 |         41 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\presentation\views\components\otp_field.dart                                      | Dart     |         73 |          5 |          6 |         84 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\presentation\views\components\phone_field.dart                                    | Dart     |        129 |          6 |         10 |        145 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\presentation\views\otp_screen.dart                                                | Dart     |         76 |          5 |          7 |         88 |
| d:\Development\Collaborative_development\ticketeer\lib\features\auth\presentation\views\phone_screen.dart                                              | Dart     |        104 |          4 |          5 |        113 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\data\models\comment_model.dart                                              | Dart     |         42 |          5 |          5 |         52 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\data\models\post_comment_model.dart                                         | Dart     |         22 |          4 |          4 |         30 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\data\movie_datasource.dart                                                  | Dart     |         37 |         11 |         12 |         60 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\data\movie_repository_impl.dart                                             | Dart     |         27 |          5 |          5 |         37 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\domain\entities\comment.dart                                                | Dart     |         14 |          1 |          2 |         17 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\domain\entities\post_comment.dart                                           | Dart     |         10 |          2 |          2 |         14 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\domain\repositories\movie_repository.dart                                   | Dart     |          8 |          5 |          4 |         17 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\injection.dart                                                              | Dart     |         28 |          1 |          5 |         34 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\presentation\cubits\comment_write_cubit\comment_write_cubit.dart            | Dart     |         51 |          7 |          8 |         66 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\presentation\cubits\comment_write_cubit\comment_write_state.dart            | Dart     |         29 |          2 |          6 |         37 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\presentation\cubits\comments_cubit\comments_cubit.dart                      | Dart     |         59 |          7 |          7 |         73 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\presentation\cubits\comments_cubit\comments_state.dart                      | Dart     |         15 |          1 |          7 |         23 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\presentation\views\comments_screen\comments_screen.dart                     | Dart     |        131 |          4 |          6 |        141 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\presentation\views\comments_screen\components\comment_block.dart            | Dart     |        107 |          3 |          5 |        115 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\presentation\views\comments_screen\components\comment_write.dart            | Dart     |        188 |          3 |         12 |        203 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\presentation\views\comments_screen\components\comments_list.dart            | Dart     |         77 |          2 |          5 |         84 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\presentation\views\full_movie_screen\components\film_feature_chip.dart      | Dart     |         32 |          3 |          5 |         40 |
| d:\Development\Collaborative_development\ticketeer\lib\features\full_movie\presentation\views\full_movie_screen\full_movie_screen.dart                 | Dart     |        281 |          6 |         11 |        298 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\data\models\movie_filters_model.dart                                       | Dart     |         53 |          7 |          8 |         68 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\data\models\movie_model.dart                                               | Dart     |        110 |          2 |          6 |        118 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\data\movies_datasource.dart                                                | Dart     |         58 |         10 |         14 |         82 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\data\movies_repository_impl.dart                                           | Dart     |         27 |          3 |          6 |         36 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\domain\entities\movie.dart                                                 | Dart     |         40 |          2 |          2 |         44 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\domain\entities\movie_filters.dart                                         | Dart     |         32 |          4 |         10 |         46 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\domain\repositories\movies_repository.dart                                 | Dart     |          8 |          4 |          4 |         16 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\injection.dart                                                             | Dart     |         23 |          1 |          4 |         28 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\presentation\cubits\home_movies_cubit\home_movies_cubit.dart               | Dart     |        145 |         10 |         12 |        167 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\presentation\cubits\home_movies_cubit\home_movies_state.dart               | Dart     |         43 |          9 |         12 |         64 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\presentation\views\movies_filters_screen\components\date_list_view.dart    | Dart     |         63 |          2 |          6 |         71 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\presentation\views\movies_filters_screen\components\year_sort_chooser.dart | Dart     |         69 |          3 |          5 |         77 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\presentation\views\movies_filters_screen\movie_filters_screen.dart         | Dart     |        203 |          4 |         22 |        229 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\presentation\views\movies_screen\components\actions_row.dart               | Dart     |         56 |          2 |          5 |         63 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\presentation\views\movies_screen\components\movie_preview_shimmer.dart     | Dart     |         68 |          2 |          4 |         74 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\presentation\views\movies_screen\components\movie_preview_tile.dart        | Dart     |        155 |          4 |          6 |        165 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\presentation\views\movies_screen\components\movie_search_field.dart        | Dart     |         64 |          2 |         11 |         77 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\presentation\views\movies_screen\components\movies_list.dart               | Dart     |        116 |          2 |          7 |        125 |
| d:\Development\Collaborative_development\ticketeer\lib\features\home_movies\presentation\views\movies_screen\movies_screen.dart                        | Dart     |         55 |          3 |          5 |         63 |
| d:\Development\Collaborative_development\ticketeer\lib\features\localization\data\localization_datasource.dart                                         | Dart     |         25 |          6 |          8 |         39 |
| d:\Development\Collaborative_development\ticketeer\lib\features\localization\data\localization_repository_impl.dart                                    | Dart     |         27 |          1 |          4 |         32 |
| d:\Development\Collaborative_development\ticketeer\lib\features\localization\domain\localization_repository.dart                                       | Dart     |          6 |         12 |          3 |         21 |
| d:\Development\Collaborative_development\ticketeer\lib\features\main_bottom_bar\presentation\main_bottom_bar_screen.dart                               | Dart     |         70 |          5 |          7 |         82 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\data\models\user_model.dart                                                    | Dart     |         40 |          5 |          6 |         51 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\data\profile_datasource.dart                                                   | Dart     |         23 |          7 |          7 |         37 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\data\profile_repository_impl.dart                                              | Dart     |         20 |          3 |          4 |         27 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\domain\entities\user.dart                                                      | Dart     |         12 |          7 |          6 |         25 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\domain\repositories\profile_repository.dart                                    | Dart     |          6 |          3 |          3 |         12 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\injection.dart                                                                 | Dart     |         22 |          1 |          4 |         27 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\presentation\cubits\profile_cubit\profile_cubit.dart                           | Dart     |         65 |          9 |         10 |         84 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\presentation\cubits\profile_cubit\profile_state.dart                           | Dart     |         29 |         16 |         12 |         57 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\presentation\views\components\change_name_button_builder.dart                  | Dart     |         78 |          6 |          4 |         88 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\presentation\views\components\language_choose_column.dart                      | Dart     |         84 |          2 |          5 |         91 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\presentation\views\components\language_indicator_image.dart                    | Dart     |         34 |          2 |          3 |         39 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\presentation\views\components\theme_choose_column.dart                         | Dart     |         82 |          2 |          4 |         88 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\presentation\views\components\theme_indicator_image.dart                       | Dart     |         44 |          2 |          3 |         49 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\presentation\views\components\user_name_builder.dart                           | Dart     |         74 |          6 |         12 |         92 |
| d:\Development\Collaborative_development\ticketeer\lib\features\profile\presentation\views\profile_screen.dart                                         | Dart     |        224 |          7 |         11 |        242 |
| d:\Development\Collaborative_development\ticketeer\lib\features\session\data\models\payment_credentials_model.dart                                     | Dart     |         63 |          2 |         13 |         78 |
| d:\Development\Collaborative_development\ticketeer\lib\features\session\data\models\room_model.dart                                                    | Dart     |         56 |          1 |         13 |         70 |
| d:\Development\Collaborative_development\ticketeer\lib\features\session\data\models\room_row_model.dart                                                | Dart     |         60 |          1 |         14 |         75 |
| d:\Development\Collaborative_development\ticketeer\lib\features\session\data\models\seat_model.dart                                                    | Dart     |         63 |          2 |         13 |         78 |
